GCF_011405655.1_00003	6a6147f41fb664fe76b2e5ff1f39b8c5	120	CDD	cd00088	HPT	27	102	1.09347E-8	T	07-05-2021	IPR008207	Signal transduction histidine kinase, phosphotransfer (Hpt) domain	GO:0000160	
GCF_011405655.1_00003	6a6147f41fb664fe76b2e5ff1f39b8c5	120	Gene3D	G3DSA:1.20.120.160		13	119	1.2E-13	T	07-05-2021	IPR036641	HPT domain superfamily	GO:0000160	
GCF_011405655.1_00003	6a6147f41fb664fe76b2e5ff1f39b8c5	120	Pfam	PF01627	Hpt domain	38	109	9.3E-12	T	07-05-2021	IPR008207	Signal transduction histidine kinase, phosphotransfer (Hpt) domain	GO:0000160	
GCF_011405655.1_00003	6a6147f41fb664fe76b2e5ff1f39b8c5	120	ProSiteProfiles	PS50894	Histidine-containing phosphotransfer (HPt) domain profile.	23	117	12.128	T	07-05-2021	IPR008207	Signal transduction histidine kinase, phosphotransfer (Hpt) domain	GO:0000160	
GCF_011405655.1_00003	6a6147f41fb664fe76b2e5ff1f39b8c5	120	SUPERFAMILY	SSF47226		25	118	3.4E-14	T	07-05-2021	IPR036641	HPT domain superfamily	GO:0000160	
GCF_011405655.1_00004	9d4ed00d37e747a88b6248c03eb9e738	702	CDD	cd00077	HDc	167	319	2.12098E-22	T	07-05-2021	IPR003607	HD/PDEase domain		
GCF_011405655.1_00004	9d4ed00d37e747a88b6248c03eb9e738	702	CDD	cd00156	REC	8	123	1.63117E-24	T	07-05-2021	IPR001789	Signal transduction response regulator, receiver domain	GO:0000160	
GCF_011405655.1_00004	9d4ed00d37e747a88b6248c03eb9e738	702	CDD	cd01949	GGDEF	517	671	1.69268E-45	T	07-05-2021	IPR000160	GGDEF domain		
GCF_011405655.1_00004	9d4ed00d37e747a88b6248c03eb9e738	702	Gene3D	G3DSA:1.10.3210.10		145	348	3.6E-66	T	07-05-2021
GCF_011405655.1_00004	9d4ed00d37e747a88b6248c03eb9e738	702	Gene3D	G3DSA:3.30.70.270		513	685	2.0E-41	T	07-05-2021	IPR043128	Reverse transcriptase/Diguanylate cyclase domain		
GCF_011405655.1_00004	9d4ed00d37e747a88b6248c03eb9e738	702	Gene3D	G3DSA:3.40.50.2300		4	144	5.2E-30	T	07-05-2021
GCF_011405655.1_00004	9d4ed00d37e747a88b6248c03eb9e738	702	PANTHER	PTHR45228		133	345	2.7E-85	T	07-05-2021
GCF_011405655.1_00004	9d4ed00d37e747a88b6248c03eb9e738	702	PANTHER	PTHR45228		2	125	2.7E-85	T	07-05-2021
GCF_011405655.1_00004	9d4ed00d37e747a88b6248c03eb9e738	702	Pfam	PF00072	Response regulator receiver domain	7	116	8.1E-22	T	07-05-2021	IPR001789	Signal transduction response regulator, receiver domain	GO:0000160	
GCF_011405655.1_00004	9d4ed00d37e747a88b6248c03eb9e738	702	Pfam	PF00990	Diguanylate cyclase, GGDEF domain	516	667	6.9E-33	T	07-05-2021	IPR000160	GGDEF domain		
GCF_011405655.1_00004	9d4ed00d37e747a88b6248c03eb9e738	702	Pfam	PF01966	HD domain	168	299	3.2E-17	T	07-05-2021	IPR006674	HD domain		
GCF_011405655.1_00004	9d4ed00d37e747a88b6248c03eb9e738	702	ProSiteProfiles	PS50110	Response regulatory domain profile.	6	123	33.606	T	07-05-2021	IPR001789	Signal transduction response regulator, receiver domain	GO:0000160	
GCF_011405655.1_00004	9d4ed00d37e747a88b6248c03eb9e738	702	ProSiteProfiles	PS50887	GGDEF domain profile.	549	675	28.875	T	07-05-2021	IPR000160	GGDEF domain		
GCF_011405655.1_00004	9d4ed00d37e747a88b6248c03eb9e738	702	ProSiteProfiles	PS51832	HD-GYP domain profile.	143	351	60.144	T	07-05-2021	IPR037522	HD-GYP domain		
GCF_011405655.1_00004	9d4ed00d37e747a88b6248c03eb9e738	702	SMART	SM00267		505	673	3.3E-40	T	07-05-2021	IPR000160	GGDEF domain		
GCF_011405655.1_00004	9d4ed00d37e747a88b6248c03eb9e738	702	SMART	SM00448		5	119	1.6E-26	T	07-05-2021	IPR001789	Signal transduction response regulator, receiver domain	GO:0000160	
GCF_011405655.1_00004	9d4ed00d37e747a88b6248c03eb9e738	702	SMART	SM00471		161	309	9.4E-5	T	07-05-2021	IPR003607	HD/PDEase domain		
GCF_011405655.1_00004	9d4ed00d37e747a88b6248c03eb9e738	702	SUPERFAMILY	SSF109604		148	339	2.89E-29	T	07-05-2021
GCF_011405655.1_00004	9d4ed00d37e747a88b6248c03eb9e738	702	SUPERFAMILY	SSF52172		4	165	3.56E-32	T	07-05-2021	IPR011006	CheY-like superfamily		
GCF_011405655.1_00004	9d4ed00d37e747a88b6248c03eb9e738	702	SUPERFAMILY	SSF55073		529	674	2.82E-35	T	07-05-2021	IPR029787	Nucleotide cyclase		
GCF_011405655.1_00004	9d4ed00d37e747a88b6248c03eb9e738	702	TIGRFAM	TIGR00254	GGDEF: diguanylate cyclase (GGDEF) domain	512	671	1.1E-35	T	07-05-2021	IPR000160	GGDEF domain		
GCF_011405655.1_00005	d3edd93c467cd28a99909b8f017bffba	411	CDD	cd05913	PaaK	2	410	0.0	T	07-05-2021
GCF_011405655.1_00005	d3edd93c467cd28a99909b8f017bffba	411	Coils	Coil		1	21	-	T	07-05-2021
GCF_011405655.1_00005	d3edd93c467cd28a99909b8f017bffba	411	Gene3D	G3DSA:3.30.300.30		311	411	1.6E-22	T	07-05-2021
GCF_011405655.1_00005	d3edd93c467cd28a99909b8f017bffba	411	Gene3D	G3DSA:3.40.50.12780		1	310	5.2E-112	T	07-05-2021	IPR042099	AMP-dependent synthetase-like superfamily		
GCF_011405655.1_00005	d3edd93c467cd28a99909b8f017bffba	411	PANTHER	PTHR43439		3	410	4.9E-135	T	07-05-2021
GCF_011405655.1_00005	d3edd93c467cd28a99909b8f017bffba	411	PANTHER	PTHR43439:SF1		3	410	4.9E-135	T	07-05-2021
GCF_011405655.1_00005	d3edd93c467cd28a99909b8f017bffba	411	Pfam	PF00501	AMP-binding enzyme	62	269	4.7E-16	T	07-05-2021	IPR000873	AMP-dependent synthetase/ligase	GO:0003824	
GCF_011405655.1_00005	d3edd93c467cd28a99909b8f017bffba	411	Pfam	PF14535	AMP-binding enzyme C-terminal domain	319	410	3.6E-19	T	07-05-2021	IPR028154	AMP-dependent ligase, C-terminal		
GCF_011405655.1_00005	d3edd93c467cd28a99909b8f017bffba	411	PIRSF	PIRSF006444		1	411	2.2E-139	T	07-05-2021	IPR011880	Phenylacetate-CoA ligase	GO:0010124|GO:0047475	
GCF_011405655.1_00005	d3edd93c467cd28a99909b8f017bffba	411	SUPERFAMILY	SSF56801		26	372	1.96E-51	T	07-05-2021
GCF_011405655.1_00006	b92caac635d8c44e8cc173135114faa8	220	CDD	cd00156	REC	6	115	1.04643E-18	T	07-05-2021	IPR001789	Signal transduction response regulator, receiver domain	GO:0000160	
GCF_011405655.1_00006	b92caac635d8c44e8cc173135114faa8	220	CDD	cd00383	trans_reg_C	130	214	4.15874E-29	T	07-05-2021	IPR001867	OmpR/PhoB-type DNA-binding domain	GO:0000160|GO:0003677|GO:0006355	
GCF_011405655.1_00006	b92caac635d8c44e8cc173135114faa8	220	Gene3D	G3DSA:1.10.10.10		124	220	7.6E-27	T	07-05-2021	IPR036388	Winged helix-like DNA-binding domain superfamily		
GCF_011405655.1_00006	b92caac635d8c44e8cc173135114faa8	220	Gene3D	G3DSA:3.40.50.2300		1	123	3.9E-21	T	07-05-2021
GCF_011405655.1_00006	b92caac635d8c44e8cc173135114faa8	220	PANTHER	PTHR26402		3	215	2.1E-39	T	07-05-2021	IPR039420	Transcriptional regulatory protein WalR-like		
GCF_011405655.1_00006	b92caac635d8c44e8cc173135114faa8	220	PANTHER	PTHR26402:SF743		3	215	2.1E-39	T	07-05-2021
GCF_011405655.1_00006	b92caac635d8c44e8cc173135114faa8	220	Pfam	PF00072	Response regulator receiver domain	4	109	4.0E-14	T	07-05-2021	IPR001789	Signal transduction response regulator, receiver domain	GO:0000160	
GCF_011405655.1_00006	b92caac635d8c44e8cc173135114faa8	220	Pfam	PF00486	Transcriptional regulatory protein, C terminal	144	214	5.7E-19	T	07-05-2021	IPR001867	OmpR/PhoB-type DNA-binding domain	GO:0000160|GO:0003677|GO:0006355	
GCF_011405655.1_00006	b92caac635d8c44e8cc173135114faa8	220	ProSiteProfiles	PS50110	Response regulatory domain profile.	3	115	28.696	T	07-05-2021	IPR001789	Signal transduction response regulator, receiver domain	GO:0000160	
GCF_011405655.1_00006	b92caac635d8c44e8cc173135114faa8	220	ProSiteProfiles	PS51755	OmpR/PhoB-type DNA-binding domain profile.	121	216	28.577	T	07-05-2021	IPR001867	OmpR/PhoB-type DNA-binding domain	GO:0000160|GO:0003677|GO:0006355	
