# Annotated with Bakta
# Software: v1.8.2
# Database: v5.0, light
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	1	1629	+	GCF_000478885.1_00001	dnaA	Chromosomal replication initiator protein DnaA	COG:COG0593, SO:0001217, UniRef:UniRef50_A0A4T9T6V8, UserProtein:GCF_000478885.1_00001
contig_1	cds	2819	3595	+	GCF_000478885.1_00002	yidC	Membrane protein insertase YidC	SO:0001217, UniRef:UniRef50_A0A369L7U0, UserProtein:GCF_000478885.1_00002
contig_1	cds	3692	4279	+	GCF_000478885.1_00003		hypothetical protein	UserProtein:GCF_000478885.1_00003
contig_1	cds	4375	5049	+	GCF_000478885.1_00004	rsmG	Ribosomal RNA small subunit methyltransferase G	COG:COG0357, EC:2.1.1.-, SO:0001217, UniRef:UniRef50_A0A3N0IJD7, UserProtein:GCF_000478885.1_00004
contig_1	cds	5169	6164	+	GCF_000478885.1_00005		Iron-sulfur cluster carrier protein	SO:0001217, UniRef:UniRef50_A0A2M9MLB9, UserProtein:GCF_000478885.1_00005
contig_1	cds	6151	7209	+	GCF_000478885.1_00006	noc_1	Nucleoid occlusion protein	SO:0001217, UniRef:UniRef50_F7UYK7, UserProtein:GCF_000478885.1_00006
contig_1	cds	7382	8305	-	GCF_000478885.1_00007	rlmN	putative dual-specificity RNA methyltransferase RlmN	EC:2.1.1.192, SO:0001217, UniRef:UniRef50_F7UYK6, UserProtein:GCF_000478885.1_00007
contig_1	cds	8324	9460	+	GCF_000478885.1_00008	ddlB	D-alanine--D-alanine ligase B	COG:COG1181, EC:6.3.2.4, SO:0001217, UniRef:UniRef50_A0A143XAB2, UserProtein:GCF_000478885.1_00008
contig_1	cds	9536	10174	-	GCF_000478885.1_00009		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A6F8SJE0, UserProtein:GCF_000478885.1_00009
contig_1	cds	10316	13285	+	GCF_000478885.1_00010	dinG	3'-5' exonuclease DinG	EC:3.1.-.-, SO:0001217, UniRef:UniRef50_F7UYK3, UserProtein:GCF_000478885.1_00010
contig_1	cds	13586	14536	+	GCF_000478885.1_00011		hypothetical protein	UserProtein:GCF_000478885.1_00011
contig_1	cds	14598	17726	+	GCF_000478885.1_00012		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A6F8SH29, UserProtein:GCF_000478885.1_00012
contig_1	cds	18088	18381	+	GCF_000478885.1_00014	rpsF	30S ribosomal protein S6	COG:COG0360, SO:0001217, UniRef:UniRef50_E1QXP2, UserProtein:GCF_000478885.1_00014
contig_1	cds	18428	18937	+	GCF_000478885.1_00015	ssb	Single-stranded DNA-binding protein	COG:COG0629, SO:0001217, UniRef:UniRef50_U2TIN8, UserProtein:GCF_000478885.1_00015
contig_1	cds	18958	19218	+	GCF_000478885.1_00016		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A133XTX5, UserProtein:GCF_000478885.1_00016
contig_1	cds	19236	19820	+	GCF_000478885.1_00017		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A133ZF32, UserProtein:GCF_000478885.1_00017
contig_1	cds	19977	21392	+	GCF_000478885.1_00018	dnaC	Replicative DNA helicase	COG:COG0305, EC:3.6.4.12, SO:0001217, UniRef:UniRef50_A0A1Y4FTB9, UserProtein:GCF_000478885.1_00018
contig_1	cds	21402	22682	+	GCF_000478885.1_00019		hypothetical protein	UserProtein:GCF_000478885.1_00019
