locus_tag	ftype	length_bp	gene	EC_number	COG	product
GCF_000478885.1_00001	CDS	1629	dnaA		COG0593	Chromosomal replication initiator protein DnaA
GCF_000478885.1_00002	CDS	777	yidC_1			Membrane protein insertase YidC
GCF_000478885.1_00003	CDS	588				hypothetical protein
GCF_000478885.1_00004	CDS	675	rsmG	2.1.1.-	COG0357	Ribosomal RNA small subunit methyltransferase G
GCF_000478885.1_00005	CDS	996				Iron-sulfur cluster carrier protein
GCF_000478885.1_00006	CDS	1059	noc_1			Nucleoid occlusion protein
GCF_000478885.1_00007	CDS	924	rlmN	2.1.1.192		putative dual-specificity RNA methyltransferase RlmN
GCF_000478885.1_00008	CDS	1137	ddlB	6.3.2.4	COG1181	D-alanine--D-alanine ligase B
GCF_000478885.1_00009	CDS	639				hypothetical protein
GCF_000478885.1_00010	CDS	2970	dinG	3.1.-.-		3'-5' exonuclease DinG
GCF_000478885.1_00011	CDS	951				hypothetical protein
GCF_000478885.1_00012	CDS	3129				hypothetical protein
GCF_000478885.1_00013	tRNA	76				tRNA-Arg(cct)
GCF_000478885.1_00014	CDS	294	rpsF		COG0360	30S ribosomal protein S6
GCF_000478885.1_00015	CDS	510	ssb		COG0629	Single-stranded DNA-binding protein
GCF_000478885.1_00016	CDS	261				hypothetical protein
GCF_000478885.1_00017	CDS	585				hypothetical protein
GCF_000478885.1_00018	CDS	1416	dnaC	3.6.4.12	COG0305	Replicative DNA helicase
GCF_000478885.1_00019	CDS	1281				hypothetical protein
GCF_000478885.1_00020	CDS	2226	smc_1			Chromosome partition protein Smc
GCF_000478885.1_00021	CDS	216				hypothetical protein
GCF_000478885.1_00022	CDS	1326	purA	6.3.4.4	COG0104	Adenylosuccinate synthetase
GCF_000478885.1_00023	CDS	1293	purD	6.3.4.13	COG0151	Phosphoribosylamine--glycine ligase
GCF_000478885.1_00024	CDS	1446				hypothetical protein
GCF_000478885.1_00025	CDS	660				hypothetical protein
GCF_000478885.1_00026	tRNA	76				tRNA-Phe(gaa)
GCF_000478885.1_00027	CDS	954				IS200/IS605 family transposase ISHaha9
GCF_000478885.1_00028	CDS	606	yfcE	3.1.4.-	COG0622	Phosphodiesterase YfcE
GCF_000478885.1_00029	CDS	1350				hypothetical protein
GCF_000478885.1_00030	CDS	909				hypothetical protein
GCF_000478885.1_00031	CDS	837	proC	1.5.1.2	COG0345	Pyrroline-5-carboxylate reductase
GCF_000478885.1_00032	CDS	1404	puuP		COG0531	Putrescine importer PuuP
GCF_000478885.1_00033	CDS	906				hypothetical protein
GCF_000478885.1_00034	CDS	462				hypothetical protein
GCF_000478885.1_00035	CDS	1074				hypothetical protein
GCF_000478885.1_00036	CDS	537				hypothetical protein
GCF_000478885.1_00037	CDS	1116				hypothetical protein
GCF_000478885.1_00038	CDS	1233	lysN_1	2.6.1.39	COG1167	2-aminoadipate transaminase
GCF_000478885.1_00039	CDS	915				hypothetical protein
GCF_000478885.1_00040	CDS	417				hypothetical protein
GCF_000478885.1_00041	CDS	828	soj_1	3.6.-.-	COG1192	Sporulation initiation inhibitor protein Soj
GCF_000478885.1_00042	CDS	939	noc_2			Nucleoid occlusion protein
GCF_000478885.1_00043	CDS	792				hypothetical protein
GCF_000478885.1_00044	CDS	2292				hypothetical protein
GCF_000478885.1_00045	CDS	138				hypothetical protein
GCF_000478885.1_00046	CDS	6042				hypothetical protein
GCF_000478885.1_00047	CDS	786				hypothetical protein
GCF_000478885.1_00048	CDS	546				hypothetical protein
GCF_000478885.1_00049	CDS	1344				hypothetical protein
GCF_000478885.1_00050	CDS	912				hypothetical protein
GCF_000478885.1_00051	CDS	1023				hypothetical protein
GCF_000478885.1_00052	CDS	969				hypothetical protein
GCF_000478885.1_00053	CDS	330				hypothetical protein
GCF_000478885.1_00054	CDS	1347				hypothetical protein
GCF_000478885.1_00055	CDS	726				hypothetical protein
GCF_000478885.1_00056	CDS	867				hypothetical protein
GCF_000478885.1_00057	CDS	1821	virD4			Protein VirD4
GCF_000478885.1_00058	CDS	333				hypothetical protein
GCF_000478885.1_00059	CDS	840				hypothetical protein
GCF_000478885.1_00060	CDS	384				hypothetical protein
GCF_000478885.1_00061	CDS	2310				hypothetical protein
GCF_000478885.1_00062	CDS	1152				hypothetical protein
GCF_000478885.1_00063	CDS	558				hypothetical protein
GCF_000478885.1_00064	CDS	1578	gsiB		COG0747	Glutathione-binding protein GsiB
GCF_000478885.1_00065	CDS	978	gsiC		COG0601	Glutathione transport system permease protein GsiC
GCF_000478885.1_00066	CDS	816	sapC		COG4171	Putrescine export system permease protein SapC
GCF_000478885.1_00067	CDS	1482	yejF		COG4172	putative ABC transporter ATP-binding protein YejF
GCF_000478885.1_00068	CDS	762	pikAV	3.1.2.-		Thioesterase PikA5
GCF_000478885.1_00069	CDS	1413				hypothetical protein
GCF_000478885.1_00070	CDS	984				hypothetical protein
GCF_000478885.1_00071	CDS	1023				hypothetical protein
GCF_000478885.1_00072	CDS	5394	dltA_1	6.2.1.54		D-alanine--D-alanyl carrier protein ligase
GCF_000478885.1_00073	CDS	7848	dltA_2	6.2.1.54		D-alanine--D-alanyl carrier protein ligase
GCF_000478885.1_00074	CDS	435				hypothetical protein
GCF_000478885.1_00075	CDS	654				hypothetical protein
GCF_000478885.1_00076	CDS	1542	dhbE	6.3.2.-	COG1021	2,3-dihydroxybenzoate-AMP ligase
GCF_000478885.1_00077	CDS	735				hypothetical protein
GCF_000478885.1_00078	CDS	1851	msbA	7.5.2.6	COG1132	Lipid A export ATP-binding/permease protein MsbA
GCF_000478885.1_00079	CDS	1737			COG1132	putative ABC transporter ATP-binding protein
GCF_000478885.1_00080	CDS	1293	metK_1	2.5.1.6		S-adenosylmethionine synthase
GCF_000478885.1_00081	CDS	930	cysK_1	2.5.1.47		Cysteine synthase
GCF_000478885.1_00082	CDS	1257	ahcY_1	3.3.1.1	COG0499	Adenosylhomocysteinase
GCF_000478885.1_00083	CDS	150				hypothetical protein
GCF_000478885.1_00084	CDS	453				hypothetical protein
GCF_000478885.1_00085	CDS	513				hypothetical protein
GCF_000478885.1_00086	CDS	387				hypothetical protein
GCF_000478885.1_00087	CDS	1371	xerC_1			Tyrosine recombinase XerC
GCF_000478885.1_00088	tRNA	74				tRNA-Gly(ccc)
GCF_000478885.1_00089	CDS	315				hypothetical protein
GCF_000478885.1_00090	CDS	738				hypothetical protein
GCF_000478885.1_00091	CDS	1458	aldH1	1.2.1.-	COG1012	4,4'-diaponeurosporen-aldehyde dehydrogenase
GCF_000478885.1_00092	CDS	780	sdh	1.1.1.276		Serine 3-dehydrogenase
GCF_000478885.1_00093	CDS	687	mupP	3.1.3.105	COG0546	N-acetylmuramic acid 6-phosphate phosphatase
GCF_000478885.1_00094	CDS	459				hypothetical protein
GCF_000478885.1_00095	CDS	1218	lnpD	5.1.3.2		UDP-glucose 4-epimerase
GCF_000478885.1_00096	CDS	74916				hypothetical protein
GCF_000478885.1_00097	CDS	1413	glmM_1	5.4.2.10	COG1109	Phosphoglucosamine mutase
GCF_000478885.1_00098	CDS	1365				hypothetical protein
GCF_000478885.1_00099	CDS	456				hypothetical protein
GCF_000478885.1_00100	CDS	255				hypothetical protein
GCF_000478885.1_00101	CDS	423			COG0864	Putative nickel-responsive regulator
GCF_000478885.1_00102	CDS	1026	hypE	4.2.1.-		Carbamoyl dehydratase HypE
GCF_000478885.1_00103	CDS	189				Ferredoxin-2
GCF_000478885.1_00104	CDS	498				hypothetical protein
GCF_000478885.1_00105	CDS	5334				hypothetical protein
GCF_000478885.1_00106	CDS	399				hypothetical protein
GCF_000478885.1_00107	CDS	1110				hypothetical protein
GCF_000478885.1_00108	CDS	1905	dnaK		COG0443	Chaperone protein DnaK
GCF_000478885.1_00109	CDS	684	grpE			Protein GrpE
GCF_000478885.1_00110	CDS	951	dnaJ_1		COG0484	Chaperone protein DnaJ
GCF_000478885.1_00111	CDS	378				hypothetical protein
GCF_000478885.1_00112	CDS	2814	clpB		COG0542	Chaperone protein ClpB
GCF_000478885.1_00113	CDS	597				hypothetical protein
GCF_000478885.1_00114	CDS	567				hypothetical protein
GCF_000478885.1_00115	CDS	1347	gltT			Proton/sodium-glutamate symport protein
GCF_000478885.1_00116	CDS	1410	pepV	3.4.13.-		Beta-Ala-Xaa dipeptidase
GCF_000478885.1_00117	CDS	714	lytR		COG3279	Sensory transduction protein LytR
GCF_000478885.1_00118	CDS	1896	pgi	5.3.1.9		Glucose-6-phosphate isomerase
GCF_000478885.1_00119	CDS	2493	hypF	6.2.-.-	COG0068	Carbamoyltransferase HypF
GCF_000478885.1_00120	CDS	249	hypC		COG0298	Hydrogenase maturation factor HypC
GCF_000478885.1_00121	CDS	1092	hypD		COG0409	Hydrogenase maturation factor HypD
GCF_000478885.1_00122	CDS	300				hypothetical protein
GCF_000478885.1_00123	CDS	684				hypothetical protein
GCF_000478885.1_00124	CDS	879				IS3 family transposase ISGmo1
GCF_000478885.1_00125	CDS	294				hypothetical protein
GCF_000478885.1_00126	CDS	99				hypothetical protein
GCF_000478885.1_00127	CDS	444	yqeY		COG1610	putative protein YqeY
GCF_000478885.1_00128	CDS	2214				hypothetical protein
GCF_000478885.1_00129	CDS	1026	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
GCF_000478885.1_00130	CDS	99				hypothetical protein
GCF_000478885.1_00131	CDS	1167	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
GCF_000478885.1_00132	CDS	675	graR		COG0745	Response regulator protein GraR
GCF_000478885.1_00133	CDS	801				hypothetical protein
GCF_000478885.1_00134	CDS	222				hypothetical protein
GCF_000478885.1_00135	CDS	492				hypothetical protein
GCF_000478885.1_00136	CDS	1935				hypothetical protein
GCF_000478885.1_00137	CDS	852				hypothetical protein
GCF_000478885.1_00138	CDS	771				hypothetical protein
GCF_000478885.1_00139	CDS	663				hypothetical protein
GCF_000478885.1_00140	CDS	672	trkA_1		COG0569	Trk system potassium uptake protein TrkA
GCF_000478885.1_00141	CDS	2070				hypothetical protein
GCF_000478885.1_00142	CDS	528	aroK_1	2.7.1.71	COG0703	Shikimate kinase 1
GCF_000478885.1_00143	CDS	1518	alsT_1		COG1115	Amino-acid carrier protein AlsT
GCF_000478885.1_00144	CDS	1341	mobA	2.7.7.77		Molybdenum cofactor guanylyltransferase
GCF_000478885.1_00145	CDS	1173	napF_1			Ferredoxin-type protein NapF
GCF_000478885.1_00146	CDS	849	fliY		COG0834	L-cystine-binding protein FliY
GCF_000478885.1_00147	CDS	654	artQ		COG0765	Arginine transport system permease protein ArtQ
GCF_000478885.1_00148	CDS	774	tcyC	3.6.3.-	COG1126	L-cystine import ATP-binding protein TcyC
GCF_000478885.1_00149	CDS	1593				hypothetical protein
GCF_000478885.1_00150	CDS	1410	pqqE	1.21.98.4		PqqA peptide cyclase
GCF_000478885.1_00151	CDS	321				hypothetical protein
GCF_000478885.1_00152	CDS	246				hypothetical protein
GCF_000478885.1_00153	CDS	219				hypothetical protein
GCF_000478885.1_00154	CDS	231				hypothetical protein
GCF_000478885.1_00155	CDS	717	pyrH	2.7.4.22	COG0528	Uridylate kinase
GCF_000478885.1_00156	CDS	564	frr		COG0233	Ribosome-recycling factor
