Gene_Name	Cluster_ID	Functions
GCF_000478885.1_02267	GCF_000478885.1_1:Cl_0	Equol Gene Cluster/hydrogenase maturase/HYDF
GCF_000478885.1_02268	GCF_000478885.1_1:Cl_0	Equol Gene Cluster/hydrogenase maturase/HYDG
GCF_000478885.1_02269	GCF_000478885.1_1:Cl_0	Equol Gene Cluster/hydrogenase maturase/HYDE
GCF_000478885.1_02270	GCF_000478885.1_1:Cl_0	Equol Gene Cluster/hydrogenase maturase/HNDD
GCF_000478885.1_02271	GCF_000478885.1_1:Cl_0	Equol Gene Cluster/hydrogenase maturase/NADO
GCF_000478885.1_02272	GCF_000478885.1_1:Cl_0	Equol Gene Cluster/fix electron transport/FIXX
GCF_000478885.1_02273	GCF_000478885.1_1:Cl_0	Equol Gene Cluster/fix electron transport/FIXC
GCF_000478885.1_02274	GCF_000478885.1_1:Cl_0	Equol Gene Cluster/Equol Production Pathway/DZNR
GCF_000478885.1_02275	GCF_000478885.1_1:Cl_0	Equol Gene Cluster/other genes/HYPO
GCF_000478885.1_02276	GCF_000478885.1_1:Cl_0	Equol Gene Cluster/Equol Production Pathway/DHDR
GCF_000478885.1_02277	GCF_000478885.1_1:Cl_0	Equol Gene Cluster/Equol Production Pathway/THDR
GCF_000478885.1_02278	GCF_000478885.1_1:Cl_0	Equol Gene Cluster/fix electron transport/FIXB
GCF_000478885.1_02279	GCF_000478885.1_1:Cl_0	Equol Gene Cluster/fix electron transport/FIXA
GCF_000478885.1_02280	GCF_000478885.1_1:Cl_0	Equol Gene Cluster/Equol Production Pathway/DDRC
GCF_000478885.1_02281	GCF_000478885.1_1:Cl_0	Equol Gene Cluster/other genes/DEVR
